Givenname,Surname,Streetaddress,City,Zipcode,Country,CountryCode,NationalId,TelephoneCountryCode,Telephone,Birthday,ConsentToContact
Linnea,Johansson,Furutorget 459,Kalmar,15206,Sverige,SE,19780727-4799,+46,0808-32 27 62,1978-07-27,True
Jan,Isaksen,Hanssengrenda 7C,Christensen,8480,Norge,NO,19791008-8618,+47,90675766,1979-10-08,True
Gustav,Johansson,Kyrkovägen 0,Jönköping,28290,Sverige,SE,19811226-1473,+46,08-93 28 88,1981-12-26,True
Nathan,Edwards,Jerry Villages 452,Kevinchester,60332,Danmark,DK,19790314-1810,+45,531.538.9327x17661,1979-03-14,True
Margareta,Lindberg,Skogsvägen 059,Norrköping,75064,Sverige,SE,19910514-4193,+46,0796-75 24 97,1991-05-14,True
Oscar,Skoglund,Gentorget 4,Alingsås,41988,Sverige,SE,19990327-6193,+46,08-817 89 56,1999-03-27,True
Sture,Linder,Kyrkgränd 8,Karlskrona,99191,Sverige,SE,19820213-4662,+46,060-96 65 96,1982-02-13,False
Jenny,Berg,Madsenstykket 92,Pålfoss,6386,Norge,NO,19630528-1303,+47,425 36 093,1963-05-28,True
Travis,Chang,Morrison Spring 32927,Joelshire,10577,Danmark,DK,19551203-3872,+45,317.645.1984,1955-12-03,True
Maj-Britt,Hansson,Strandstigen 19,Lund,53210,Sverige,SE,19930205-0332,+46,08-874 443 41,1993-02-05,True
Berit,Arvidsson,Backtorget 5,Motala,43202,Sverige,SE,19820921-3424,+46,08-601 834 04,1982-09-21,True
Johan,Gustafsson,Ringvägen 9,Lidköping,40491,Sverige,SE,19930720-4708,+46,+46 (0)54 55 93 51,1993-07-20,True
Onni,Salmela,Gneissikuja 19,Kuhmoinen,34178,Finland,FI,19641223-5907,+358,+358672850321,1964-12-23,True
Finn,Thorsen,Henriksenlyngen 03,Lailaodden,7568,Norue,NO,19790326-8261,+47,60861386,1979-03-26,True
Gun,Petersson,Furustigen 68,Norrköping,12355,Sverige,SE,19861025-0614,+46,08-68 20 99,1986-10-25,True
Emma,Fredriksson,Idrottstorget 3,Malmö,87375,Sverige,SE,19570812-2364,+46,08-021 35 17,1957-08-12,True
Lennart,Persson,Trädgårdsvägen 1,Malmö,40925,Sverige,SE,19500805-2203,+46,08-868 364 19,1950-08-05,True
Pernilla,Andersson,Kvarngränd 3,Gävle,39381,Sverige,SE,19580121-0228,+46,08-925 079 66,1958-01-21,True
Gunnar,Olsson,Nyvägen 84,Luleå,32635,Sverige,SE,19470921-2062,+46,+46 (0)8 295 643 82,1947-09-21,True
Michael,Nilsson,Industrivägen 4,Stockholm,72618,Sverige,SE,19450818-1129,+46,+46 (0)03 32 98 23,1945-08-18,True
Katja,Järvinen,Fagottipolku 5,Geta,09027,Finland,FI,19720128-648A,+358,+358 64 2499416,1972-01-28,False
Margareta,Andersson,Trädgårdsgatan 558,Lidköping,20184,Sverige,SE,19850524-2821,+46,+46 (0)8 382 813 56,1985-05-24,True
Lisbeth,Olsson,Parkgatan 931,Lidingö,31888,Sverige,SE,19871124-8951,+46,0640-891 68,1987-11-24,True
Rolf,Myhre,Kristoffersenhagen 20,Jorunneid,4786,Norge,NO,19700621-8455,+47,90861053,1970-06-21,True
Jeffrey,Keller,Daniels Route 0504,Stephanieland,45361,Danmark,DK,19420611-9179,+45,256-283-1251x5135,1942-06-11,True
Berit,Gustafsson,Ringgatan 747,Luleå,19142,Sverige,SE,19890813-7818,+46,026-30 53 32,1989-08-13,True
Margaretha,Abrahamsson,Åkertorget 6,Eskilstuna,81872,Sverige,SE,19711005-9534,+46,0551-75 13 99,1971-10-05,True
Carla,Rivera,Steve Mount 265,New Robertport,23280,Danmark,DK,19830903-0003,+45,858.979.7463x7744,1983-09-03,False
Maj,Johansson,Skogstorget 816,Lidingö,50503,Sverige,SE,19430601-1895,+46,080-79 72 56,1943-06-01,True
Henrik,Ekström,Skogsstigen 3,Göteborg,80804,Sverige,SE,19420924-1308,+46,049-494 39 93,1942-09-24,True
Kalevi,Pulkkinen,Versobulevardi 17,Helsinki,84024,Finland,FI,19530622-860P,+358,+358 45 8069347,1953-06-22,True
Ivan,Lundin,Idrottsvägen 8,Ängelholm,40302,Sverige,SE,19840117-3347,+46,+46 (0)8 478 851 14,1984-01-17,True
Barbro,Eriksson,Skolvägen 1,Alingsås,79342,Sverige,SE,19990324-4494,+46,+46 (0)74 26 64 49,1999-03-24,True
Åke,Pettersson,Järnvägsgatan 488,Eskilstuna,57188,Sverige,SE,19870123-1562,+46,08-117 840 87,1987-01-23,True
Madeleine,Eriksson,Trädgårdsvägen 38,Varberg,81873,Sverige,SE,19970327-1006,+47,08-139 885 64,1997-03-27,True
Maria,Forsberg,Ringstigen 611,Luleå,18793,Sverige,SE,19410126-1468,+46,08-273 36 01,1941-01-26,True
Jennifer,Wilson,King Forge 798,South Michaelton,94932,Danmark,DK,19530327-8194,+45,389.756.7033,1953-03-27,True
Gilbert,Hancock,Alyssa Vista 22102,Shortport,41358,Danmark,DK,19630927-1020,+45,001-351-693-4214x18340,1963-09-27,True
Roland,Persson,Grangatan 38,Karlskoga,54456,Sverige,SE,19671011-9973,+46,08-71 97 38,1967-10-11,True
